X,Y,Value
1,1,0.00622540174944341
1,2,0.00223692401844407
1,3,0.00489590917244363
1,4,0.00761820349677651
1,5,0.00759710043999873
1,6,0.00547624323383242
1,7,0.00371413799288827
1,8,0.00667911747016555
2,1,0.0063942262036656
2,2,0.0070484209637766
2,3,0.0201850738079411
2,4,0.0146138668186087
2,5,0.0138119506610533
2,6,0.0236881812330516
2,7,0.00757599738322096
2,8,0.00763930655355428
3,1,0.00940141179449843
3,2,0.013928017473331
3,3,0.0208709231532187
3,4,0.0183702109250525
3,5,0.0208814746816076
3,6,0.0180114589598303
3,7,0.0162599052472751
3,8,0.0108997288257204
4,1,0.044221455477826
4,2,0.0289111877855507
4,3,0.0226013738089962
4,4,0.0434300908486594
4,5,0.0377850231606048
4,6,0.0259040021947179
4,7,0.0236987327614405
4,8,0.0592573834319901
5,1,0.0101083641965539
5,2,0.022158209616663
5,3,0.0234454960801072
5,4,0.0281198231563842
5,5,0.0308421174807171
5,6,0.0203327952053855
5,7,0.0241735515389404
5,8,0.0121659122323869
6,1,0.00857839258016524
6,2,0.0144133877792198
6,3,0.0266953668238844
6,4,0.0199634917117745
6,5,0.0197841157291634
6,6,0.0282991991389953
6,7,0.0131894104861089
6,8,0.0101400187817205
7,1,0.00461101790594368
7,2,0.00859949563694301
7,3,0.0152047524083864
7,4,0.0152153039367752
7,5,0.0197946672575523
7,6,0.0136747807919977
7,7,0.00957023624872063
7,8,0.00517024891055469
8,1,0.00338704061283277
8,2,0.0025429183417218
8,3,0.00432612663944372
8,4,0.00614098952233231
8,5,0.00747048209933209
8,6,0.00510693974022137
8,7,0.00297553100566617
8,8,0.00396737467422156
